1
5/21/2024 5:40 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.10667	
//WLCalib: 261S 	-0.59000	
//WLCalib: 362S 	-0.96000	
//WLCalib: 484S 	-0.30000	
//WLCalib: 529S 	-0.11000	
//WLCalib: 823S 	-0.54000	
//QSpecEnd: 
190.0	5.658
190.5	5.742
191.0	5.775
191.5	5.902
192.0	5.869
192.5	5.897
193.0	5.883
193.5	5.858
194.0	5.827
194.5	5.938
195.0	6.265
195.5	6.409
196.0	6.648
196.5	6.811
197.0	7.027
197.5	7.194
198.0	7.275
198.5	7.571
199.0	7.973
199.5	8.430
200.0	9.038
200.5	9.587
201.0	10.240
201.5	10.852
202.0	11.500
202.5	12.149
203.0	12.811
203.5	13.447
204.0	14.012
204.5	14.479
205.0	14.877
205.5	15.151
206.0	15.388
206.5	15.552
207.0	15.704
207.5	15.801
208.0	15.931
208.5	16.024
209.0	16.098
209.5	16.241
210.0	16.171
210.5	16.155
211.0	16.206
211.5	16.260
212.0	16.312
212.5	16.351
213.0	16.389
213.5	16.402
214.0	16.459
214.5	16.517
215.0	16.473
215.5	16.551
216.0	16.676
216.5	16.818
217.0	17.016
217.5	17.221
218.0	17.433
218.5	17.690
219.0	18.099
219.5	18.512
220.0	18.783
220.5	18.989
221.0	19.287
221.5	19.662
222.0	19.919
222.5	19.886
223.0	19.693
223.5	19.763
224.0	19.748
224.5	19.732
225.0	19.569
225.5	19.459
226.0	19.542
226.5	19.514
227.0	19.268
227.5	19.016
228.0	18.737
228.5	18.721
229.0	18.501
229.5	18.434
230.0	18.178
230.5	17.907
231.0	17.581
231.5	17.124
232.0	16.568
232.5	16.031
233.0	15.442
233.5	14.886
234.0	14.368
234.5	13.909
235.0	13.500
235.5	13.116
236.0	12.785
236.5	12.383
237.0	12.029
237.5	11.691
238.0	11.342
238.5	11.036
239.0	10.750
239.5	10.490
240.0	10.196
240.5	9.912
241.0	9.655
241.5	9.424
242.0	9.231
242.5	9.080
243.0	8.932
243.5	8.813
