1.2
5/23/2024 2:47 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.10667	
//WLCalib: 261S 	-0.59000	
//WLCalib: 362S 	-0.96000	
//WLCalib: 484S 	-0.66000	
//WLCalib: 529S 	-0.11000	
//WLCalib: 823S 	-0.54000	
//QSpecEnd: 
190.0	5.187
190.5	5.457
191.0	5.582
191.5	5.810
192.0	5.921
192.5	5.850
193.0	5.677
193.5	5.676
194.0	5.729
194.5	5.795
195.0	5.968
195.5	6.388
196.0	6.746
196.5	7.126
197.0	7.442
197.5	7.541
198.0	7.645
198.5	7.901
199.0	8.259
199.5	8.592
200.0	9.040
200.5	9.624
201.0	10.252
201.5	10.929
202.0	11.586
202.5	12.105
203.0	12.697
203.5	13.295
204.0	13.834
204.5	14.263
205.0	14.656
205.5	14.968
206.0	15.225
206.5	15.424
207.0	15.570
207.5	15.656
208.0	15.761
208.5	15.857
209.0	15.927
209.5	15.962
210.0	15.988
210.5	16.034
211.0	16.106
211.5	16.160
212.0	16.209
212.5	16.223
213.0	16.278
213.5	16.319
214.0	16.335
214.5	16.342
215.0	16.396
215.5	16.515
216.0	16.583
216.5	16.698
217.0	16.935
217.5	17.071
218.0	17.265
218.5	17.526
219.0	17.817
219.5	18.227
220.0	18.647
220.5	19.038
221.0	19.557
221.5	19.888
222.0	20.158
222.5	20.267
223.0	20.503
223.5	20.641
224.0	20.321
224.5	20.051
225.0	19.773
225.5	19.598
226.0	19.327
226.5	18.970
227.0	18.797
227.5	18.692
228.0	18.692
228.5	18.412
229.0	17.897
229.5	17.633
230.0	17.324
230.5	17.012
231.0	16.538
231.5	16.137
232.0	15.623
232.5	15.088
233.0	14.552
233.5	14.020
234.0	13.530
234.5	13.038
235.0	12.634
235.5	12.248
236.0	11.901
236.5	11.580
237.0	11.253
237.5	10.973
238.0	10.707
238.5	10.469
239.0	10.221
239.5	9.975
240.0	9.745
240.5	9.549
241.0	9.361
241.5	9.197
242.0	9.063
242.5	8.947
243.0	8.842
243.5	8.771
