91
5/31/2024 6:11 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.34667	
//WLCalib: 261S 	-0.23000	
//WLCalib: 362S 	-0.96000	
//WLCalib: 484S 	-0.30000	
//WLCalib: 529S 	-0.11000	
//WLCalib: 823S 	-0.54000	
//QSpecEnd: 
190.0	-0.465
190.5	-0.344
191.0	-0.463
191.5	-0.438
192.0	-0.445
192.5	-0.248
193.0	-0.122
193.5	-0.041
194.0	-0.019
194.5	-0.034
195.0	-0.069
195.5	-0.161
196.0	-0.287
196.5	-0.458
197.0	-0.408
197.5	-0.358
198.0	-0.365
198.5	-0.352
199.0	-0.342
199.5	-0.338
200.0	-0.414
200.5	-0.395
201.0	-0.287
201.5	-0.136
202.0	-0.204
202.5	-0.043
203.0	0.210
203.5	0.666
204.0	1.167
204.5	1.844
205.0	2.686
205.5	3.601
206.0	4.494
206.5	5.096
207.0	5.486
207.5	6.098
208.0	6.476
208.5	6.892
209.0	7.067
209.5	7.376
210.0	7.578
210.5	7.720
211.0	7.884
211.5	7.951
212.0	8.098
212.5	8.211
213.0	8.371
213.5	8.564
214.0	8.657
214.5	8.801
215.0	8.929
215.5	9.141
216.0	9.254
216.5	9.332
217.0	9.460
217.5	9.629
218.0	9.903
218.5	10.158
219.0	10.561
219.5	10.916
220.0	11.291
220.5	11.669
221.0	12.050
221.5	12.365
222.0	12.703
222.5	13.040
223.0	13.283
223.5	13.574
224.0	13.890
224.5	14.157
225.0	14.537
225.5	15.026
226.0	15.689
226.5	16.656
227.0	17.849
227.5	19.076
228.0	20.249
228.5	21.246
229.0	21.947
229.5	22.323
230.0	22.349
230.5	22.107
231.0	21.734
231.5	21.370
232.0	21.036
232.5	20.751
233.0	20.560
233.5	20.495
234.0	20.593
234.5	20.813
235.0	21.045
235.5	21.256
236.0	21.438
236.5	21.630
237.0	21.807
237.5	21.977
238.0	22.159
238.5	22.383
239.0	22.690
239.5	23.402
240.0	24.165
240.5	24.659
241.0	25.199
241.5	25.455
242.0	25.466
242.5	25.396
243.0	25.081
243.5	24.315
244.0	23.785
244.5	23.434
245.0	22.806
245.5	22.121
246.0	21.705
246.5	21.237
247.0	21.096
247.5	21.109
248.0	21.013
248.5	20.931
249.0	20.886
249.5	20.625
250.0	20.471
250.5	20.458
251.0	20.334
251.5	20.314
252.0	20.337
252.5	20.293
253.0	20.136
253.5	20.134
254.0	20.061
254.5	20.217
255.0	20.253
255.5	20.484
256.0	20.506
256.5	20.635
257.0	20.543
257.5	20.390
258.0	20.201
258.5	20.236
259.0	20.333
259.5	20.332
260.0	20.271
260.5	20.536
261.0	20.782
261.5	20.916
262.0	20.839
262.5	20.884
263.0	20.763
263.5	20.709
264.0	20.574
264.5	20.651
265.0	20.867
265.5	20.990
266.0	21.226
266.5	21.254
267.0	21.226
267.5	21.003
268.0	20.888
268.5	20.988
269.0	20.966
269.5	21.281
270.0	21.353
270.5	21.494
271.0	21.496
271.5	21.545
272.0	21.445
272.5	21.291
273.0	21.521
273.5	21.456
274.0	21.180
274.5	20.980
275.0	20.607
275.5	20.303
276.0	19.904
276.5	19.754
277.0	19.432
277.5	19.478
278.0	19.572
278.5	19.478
279.0	19.469
279.5	19.370
280.0	19.209
280.5	19.157
281.0	18.984
281.5	18.671
282.0	18.331
282.5	18.138
283.0	17.905
283.5	17.653
284.0	17.459
284.5	17.173
285.0	16.960
285.5	16.804
286.0	16.544
286.5	16.354
287.0	16.200
287.5	16.011
288.0	15.843
288.5	15.684
289.0	15.497
289.5	15.306
290.0	15.142
290.5	14.976
291.0	14.839
291.5	14.723
292.0	14.548
292.5	14.387
293.0	14.246
293.5	14.071
294.0	13.909
294.5	13.772
295.0	13.640
295.5	13.520
296.0	13.419
296.5	13.265
297.0	13.091
297.5	12.956
298.0	12.807
298.5	12.648
299.0	12.531
299.5	12.424
300.0	12.288
300.5	12.156
301.0	12.030
301.5	11.908
302.0	11.772
302.5	11.667
303.0	11.563
303.5	11.449
304.0	11.361
304.5	11.260
305.0	11.154
305.5	11.037
306.0	10.922
306.5	10.834
307.0	10.723
307.5	10.644
308.0	10.557
308.5	10.472
309.0	10.417
309.5	10.374
310.0	10.334
310.5	10.264
311.0	10.199
311.5	10.142
312.0	10.051
312.5	9.964
313.0	9.896
313.5	9.831
314.0	9.779
314.5	9.732
315.0	9.674
315.5	9.632
316.0	9.570
316.5	9.523
317.0	9.444
317.5	9.376
318.0	9.341
318.5	9.289
319.0	9.247
319.5	9.190
320.0	9.141
320.5	9.108
321.0	9.048
321.5	8.998
322.0	8.942
322.5	8.891
323.0	8.864
323.5	8.815
324.0	8.762
324.5	8.708
325.0	8.672
325.5	8.617
326.0	8.541
326.5	8.481
327.0	8.417
327.5	8.349
328.0	8.277
328.5	8.207
329.0	8.142
329.5	8.085
330.0	8.040
330.5	7.975
331.0	7.907
331.5	7.849
332.0	7.764
332.5	7.685
333.0	7.587
333.5	7.505
334.0	7.419
334.5	7.333
335.0	7.250
335.5	7.152
336.0	7.072
336.5	6.985
337.0	6.898
337.5	6.821
338.0	6.725
338.5	6.639
339.0	6.541
339.5	6.449
340.0	6.344
340.5	6.246
341.0	6.151
341.5	6.051
342.0	5.962
342.5	5.881
343.0	5.779
343.5	5.681
344.0	5.580
344.5	5.490
345.0	5.397
345.5	5.306
346.0	5.206
346.5	5.110
347.0	5.021
347.5	4.929
348.0	4.832
348.5	4.735
349.0	4.637
349.5	4.557
350.0	4.473
350.5	4.381
351.0	4.293
351.5	4.212
352.0	4.133
352.5	4.053
353.0	3.972
353.5	3.886
354.0	3.807
354.5	3.739
355.0	3.668
355.5	3.595
356.0	3.525
356.5	3.458
357.0	3.388
357.5	3.321
358.0	3.256
358.5	3.189
359.0	3.133
359.5	3.076
360.0	3.018
360.5	2.957
361.0	2.896
361.5	2.837
362.0	2.781
362.5	2.733
363.0	2.689
363.5	2.648
364.0	2.614
364.5	2.578
365.0	2.534
365.5	2.491
366.0	2.447
366.5	2.403
367.0	2.360
367.5	2.321
368.0	2.286
368.5	2.253
369.0	2.230
369.5	2.204
370.0	2.178
370.5	2.152
371.0	2.123
371.5	2.097
372.0	2.066
372.5	2.035
373.0	2.010
373.5	1.985
374.0	1.964
374.5	1.935
375.0	1.914
375.5	1.890
376.0	1.860
376.5	1.834
377.0	1.810
377.5	1.790
378.0	1.776
378.5	1.762
379.0	1.749
379.5	1.735
380.0	1.730
380.5	1.715
381.0	1.693
381.5	1.673
382.0	1.654
382.5	1.635
383.0	1.617
383.5	1.602
384.0	1.591
384.5	1.582
385.0	1.576
385.5	1.566
386.0	1.556
386.5	1.546
387.0	1.531
387.5	1.521
388.0	1.520
388.5	1.513
389.0	1.505
389.5	1.493
390.0	1.476
390.5	1.466
391.0	1.447
391.5	1.432
392.0	1.413
392.5	1.402
393.0	1.399
393.5	1.388
394.0	1.380
394.5	1.377
395.0	1.372
395.5	1.369
396.0	1.360
396.5	1.349
397.0	1.337
397.5	1.325
398.0	1.316
398.5	1.305
399.0	1.301
399.5	1.301
400.0	1.295
400.5	1.291
401.0	1.282
401.5	1.272
402.0	1.264
402.5	1.252
403.0	1.245
403.5	1.238
404.0	1.232
404.5	1.225
405.0	1.216
405.5	1.206
406.0	1.195
406.5	1.188
407.0	1.179
407.5	1.168
408.0	1.160
408.5	1.152
409.0	1.146
409.5	1.141
410.0	1.136
410.5	1.130
411.0	1.127
411.5	1.125
412.0	1.120
412.5	1.115
413.0	1.107
413.5	1.094
414.0	1.090
414.5	1.082
415.0	1.075
415.5	1.070
416.0	1.063
416.5	1.056
417.0	1.056
417.5	1.053
418.0	1.048
418.5	1.041
419.0	1.038
419.5	1.033
420.0	1.025
420.5	1.020
421.0	1.012
421.5	1.004
422.0	1.001
422.5	0.998
423.0	0.997
423.5	0.994
424.0	0.990
424.5	0.984
425.0	0.976
425.5	0.971
426.0	0.968
426.5	0.958
427.0	0.955
427.5	0.954
428.0	0.951
428.5	0.948
429.0	0.946
429.5	0.940
430.0	0.935
430.5	0.930
431.0	0.926
431.5	0.916
432.0	0.909
432.5	0.905
433.0	0.901
433.5	0.899
434.0	0.900
434.5	0.894
435.0	0.890
435.5	0.884
436.0	0.880
436.5	0.874
437.0	0.869
437.5	0.867
438.0	0.864
438.5	0.862
439.0	0.857
439.5	0.853
440.0	0.850
440.5	0.848
441.0	0.846
441.5	0.845
442.0	0.843
442.5	0.840
443.0	0.839
443.5	0.838
444.0	0.837
444.5	0.837
445.0	0.837
445.5	0.834
446.0	0.827
446.5	0.824
447.0	0.817
447.5	0.812
448.0	0.808
448.5	0.805
449.0	0.806
449.5	0.801
450.0	0.799
450.5	0.797
451.0	0.793
451.5	0.793
452.0	0.789
452.5	0.784
453.0	0.780
453.5	0.780
454.0	0.779
454.5	0.773
455.0	0.773
455.5	0.772
456.0	0.766
456.5	0.761
457.0	0.752
457.5	0.745
458.0	0.744
458.5	0.743
459.0	0.741
459.5	0.746
460.0	0.752
460.5	0.755
461.0	0.753
461.5	0.753
462.0	0.749
462.5	0.744
463.0	0.737
463.5	0.730
464.0	0.724
464.5	0.722
465.0	0.720
465.5	0.718
466.0	0.720
466.5	0.724
467.0	0.725
467.5	0.723
468.0	0.722
468.5	0.724
469.0	0.723
469.5	0.718
470.0	0.712
470.5	0.707
471.0	0.706
471.5	0.708
472.0	0.710
472.5	0.709
473.0	0.711
473.5	0.712
474.0	0.710
474.5	0.709
475.0	0.706
475.5	0.700
476.0	0.699
476.5	0.702
477.0	0.701
477.5	0.696
478.0	0.690
478.5	0.683
479.0	0.680
479.5	0.680
480.0	0.681
480.5	0.678
481.0	0.678
481.5	0.679
482.0	0.678
482.5	0.676
483.0	0.671
483.5	0.669
484.0	0.670
484.5	0.671
485.0	0.672
485.5	0.672
486.0	0.672
486.5	0.671
487.0	0.672
487.5	0.671
488.0	0.666
488.5	0.665
489.0	0.665
489.5	0.663
490.0	0.662
490.5	0.662
491.0	0.665
491.5	0.668
492.0	0.666
492.5	0.663
493.0	0.664
493.5	0.667
494.0	0.664
494.5	0.660
495.0	0.659
495.5	0.656
496.0	0.656
496.5	0.654
497.0	0.649
497.5	0.648
498.0	0.648
498.5	0.651
499.0	0.644
499.5	0.642
500.0	0.642
500.5	0.645
501.0	0.643
501.5	0.640
502.0	0.639
502.5	0.636
503.0	0.634
503.5	0.638
504.0	0.635
504.5	0.640
505.0	0.646
505.5	0.655
506.0	0.657
506.5	0.656
507.0	0.652
507.5	0.646
508.0	0.641
508.5	0.639
509.0	0.632
509.5	0.637
510.0	0.638
510.5	0.639
511.0	0.640
511.5	0.634
512.0	0.631
512.5	0.629
513.0	0.628
513.5	0.627
514.0	0.630
514.5	0.635
515.0	0.636
515.5	0.637
516.0	0.631
516.5	0.624
517.0	0.622
517.5	0.622
518.0	0.622
518.5	0.624
519.0	0.626
519.5	0.626
520.0	0.622
520.5	0.624
521.0	0.622
521.5	0.619
522.0	0.619
522.5	0.617
523.0	0.619
523.5	0.617
524.0	0.617
524.5	0.616
525.0	0.619
525.5	0.625
526.0	0.626
526.5	0.623
527.0	0.621
527.5	0.620
528.0	0.617
528.5	0.612
529.0	0.612
529.5	0.613
530.0	0.615
530.5	0.617
531.0	0.614
531.5	0.610
532.0	0.605
532.5	0.602
533.0	0.601
533.5	0.601
534.0	0.601
534.5	0.603
535.0	0.607
535.5	0.609
536.0	0.608
536.5	0.607
537.0	0.605
537.5	0.607
538.0	0.604
538.5	0.603
539.0	0.601
539.5	0.601
540.0	0.600
540.5	0.597
541.0	0.594
541.5	0.595
542.0	0.596
542.5	0.597
543.0	0.590
543.5	0.591
544.0	0.596
544.5	0.600
545.0	0.601
545.5	0.597
546.0	0.592
546.5	0.591
547.0	0.590
547.5	0.586
548.0	0.584
548.5	0.584
549.0	0.590
549.5	0.593
550.0	0.593
550.5	0.593
551.0	0.588
551.5	0.587
552.0	0.589
552.5	0.586
553.0	0.587
553.5	0.587
554.0	0.587
554.5	0.584
555.0	0.581
555.5	0.582
556.0	0.582
556.5	0.587
557.0	0.590
557.5	0.591
558.0	0.592
558.5	0.595
559.0	0.590
559.5	0.585
560.0	0.577
560.5	0.576
561.0	0.575
561.5	0.574
562.0	0.572
562.5	0.576
563.0	0.577
563.5	0.578
564.0	0.577
564.5	0.578
565.0	0.583
565.5	0.586
566.0	0.589
566.5	0.590
567.0	0.590
567.5	0.592
568.0	0.591
568.5	0.587
569.0	0.586
569.5	0.585
570.0	0.582
570.5	0.578
571.0	0.572
571.5	0.565
572.0	0.562
572.5	0.558
573.0	0.558
573.5	0.556
574.0	0.556
574.5	0.556
575.0	0.553
575.5	0.556
576.0	0.556
576.5	0.557
577.0	0.566
577.5	0.568
578.0	0.573
578.5	0.573
579.0	0.573
579.5	0.569
580.0	0.564
580.5	0.559
581.0	0.551
581.5	0.543
582.0	0.546
582.5	0.546
583.0	0.549
583.5	0.547
584.0	0.548
584.5	0.549
585.0	0.548
585.5	0.544
586.0	0.542
586.5	0.540
587.0	0.545
587.5	0.549
588.0	0.554
588.5	0.550
589.0	0.550
589.5	0.547
590.0	0.541
590.5	0.534
591.0	0.530
591.5	0.529
592.0	0.530
592.5	0.531
593.0	0.533
593.5	0.532
594.0	0.531
594.5	0.533
595.0	0.538
595.5	0.536
596.0	0.537
596.5	0.538
597.0	0.535
597.5	0.534
598.0	0.531
598.5	0.525
599.0	0.516
599.5	0.515
600.0	0.516
600.5	0.516
601.0	0.519
601.5	0.526
602.0	0.531
602.5	0.534
603.0	0.538
603.5	0.535
604.0	0.529
604.5	0.526
605.0	0.516
605.5	0.512
606.0	0.510
606.5	0.512
607.0	0.513
607.5	0.512
608.0	0.515
608.5	0.515
609.0	0.514
609.5	0.511
610.0	0.504
610.5	0.502
611.0	0.502
611.5	0.499
612.0	0.502
612.5	0.504
613.0	0.503
613.5	0.503
614.0	0.509
614.5	0.511
615.0	0.512
615.5	0.510
616.0	0.510
616.5	0.504
617.0	0.498
617.5	0.495
618.0	0.484
618.5	0.483
619.0	0.487
619.5	0.486
620.0	0.487
620.5	0.486
621.0	0.493
621.5	0.496
622.0	0.495
622.5	0.500
623.0	0.496
623.5	0.499
624.0	0.500
624.5	0.503
625.0	0.505
625.5	0.498
626.0	0.493
626.5	0.483
627.0	0.476
627.5	0.468
628.0	0.462
628.5	0.456
629.0	0.455
629.5	0.465
630.0	0.471
630.5	0.473
631.0	0.473
631.5	0.477
632.0	0.481
632.5	0.484
633.0	0.487
633.5	0.480
634.0	0.478
634.5	0.482
635.0	0.482
635.5	0.481
636.0	0.483
636.5	0.483
637.0	0.488
637.5	0.491
638.0	0.487
638.5	0.477
639.0	0.472
639.5	0.467
640.0	0.467
640.5	0.461
641.0	0.463
641.5	0.465
642.0	0.465
642.5	0.468
643.0	0.467
643.5	0.464
644.0	0.463
644.5	0.467
645.0	0.472
645.5	0.471
646.0	0.473
646.5	0.471
647.0	0.468
647.5	0.471
648.0	0.469
648.5	0.469
649.0	0.461
649.5	0.463
650.0	0.465
650.5	0.464
651.0	0.462
651.5	0.463
652.0	0.459
652.5	0.464
653.0	0.463
653.5	0.469
654.0	0.465
654.5	0.463
655.0	0.467
655.5	0.468
656.0	0.462
656.5	0.456
657.0	0.447
657.5	0.450
658.0	0.446
658.5	0.448
659.0	0.451
659.5	0.455
660.0	0.460
660.5	0.463
661.0	0.457
661.5	0.456
662.0	0.456
662.5	0.452
663.0	0.450
663.5	0.452
664.0	0.448
664.5	0.446
665.0	0.439
665.5	0.435
666.0	0.431
666.5	0.431
667.0	0.435
667.5	0.434
668.0	0.437
668.5	0.436
669.0	0.434
669.5	0.439
670.0	0.434
670.5	0.432
671.0	0.426
671.5	0.425
672.0	0.424
672.5	0.416
673.0	0.418
673.5	0.416
674.0	0.419
674.5	0.424
675.0	0.424
675.5	0.435
676.0	0.437
676.5	0.445
677.0	0.448
677.5	0.444
678.0	0.446
678.5	0.435
679.0	0.426
679.5	0.419
680.0	0.413
680.5	0.417
681.0	0.414
681.5	0.416
682.0	0.417
682.5	0.416
683.0	0.422
683.5	0.422
684.0	0.424
684.5	0.424
685.0	0.424
685.5	0.426
686.0	0.423
686.5	0.426
687.0	0.435
687.5	0.444
688.0	0.448
688.5	0.445
689.0	0.436
689.5	0.430
690.0	0.427
690.5	0.425
691.0	0.420
691.5	0.423
692.0	0.429
692.5	0.428
693.0	0.428
693.5	0.420
694.0	0.411
694.5	0.406
695.0	0.404
695.5	0.403
696.0	0.404
696.5	0.409
697.0	0.416
697.5	0.423
698.0	0.433
698.5	0.434
699.0	0.432
699.5	0.431
700.0	0.426
700.5	0.416
701.0	0.409
701.5	0.400
702.0	0.392
702.5	0.390
703.0	0.387
703.5	0.389
704.0	0.392
704.5	0.402
705.0	0.406
705.5	0.409
706.0	0.412
706.5	0.410
707.0	0.412
707.5	0.412
708.0	0.409
708.5	0.409
709.0	0.405
709.5	0.404
710.0	0.404
710.5	0.402
711.0	0.401
711.5	0.399
712.0	0.410
712.5	0.419
713.0	0.413
713.5	0.412
714.0	0.408
714.5	0.412
715.0	0.416
715.5	0.420
716.0	0.421
716.5	0.423
717.0	0.423
717.5	0.421
718.0	0.413
718.5	0.414
719.0	0.413
719.5	0.417
720.0	0.421
720.5	0.418
721.0	0.414
721.5	0.410
722.0	0.403
722.5	0.395
723.0	0.393
723.5	0.400
724.0	0.394
724.5	0.394
725.0	0.397
725.5	0.392
726.0	0.391
726.5	0.392
727.0	0.386
727.5	0.379
728.0	0.382
728.5	0.393
729.0	0.397
729.5	0.405
730.0	0.408
730.5	0.403
731.0	0.401
731.5	0.399
732.0	0.388
732.5	0.383
733.0	0.383
733.5	0.389
734.0	0.394
734.5	0.391
735.0	0.389
735.5	0.391
736.0	0.392
736.5	0.392
737.0	0.388
737.5	0.386
738.0	0.376
738.5	0.377
739.0	0.380
739.5	0.380
740.0	0.385
740.5	0.385
741.0	0.381
741.5	0.380
742.0	0.376
742.5	0.371
743.0	0.359
743.5	0.360
744.0	0.370
744.5	0.375
745.0	0.384
745.5	0.387
746.0	0.390
746.5	0.391
747.0	0.377
747.5	0.369
748.0	0.362
748.5	0.362
749.0	0.363
749.5	0.367
750.0	0.378
750.5	0.387
751.0	0.402
751.5	0.405
752.0	0.397
752.5	0.394
753.0	0.389
753.5	0.387
754.0	0.378
754.5	0.378
755.0	0.379
755.5	0.384
756.0	0.400
756.5	0.397
757.0	0.393
757.5	0.391
758.0	0.394
758.5	0.396
759.0	0.393
759.5	0.393
760.0	0.380
760.5	0.377
