,Compartment,Chamber,Experiment_Round,Box_Nr,Type_Barrier,Start_Date,Germinants_Added_Date,Fungus_Added,Fungal_Strain_Used,Fungal_Generation_Used,Date_Fungus_Crossed,Dye_Added_Date,Harvest_Date,Notes,Dry_Weight_g,Sample_Name,Total_Weight_mg,Tube Type,Note,Date,Comments,Duplicate,Compartment_abbr
1,Shoot,Donor,2,3,Experimental,NA,6/9/2023,45089,494B,6,7/18/2023,45145,8/10/2023,7/5: Added 5 mL nutrients and 50 mL water,0.0925,2.3A.S,0.967,1,NA,4/15/2024,NA,NA,S
2,Root,Donor,2,3,Experimental,NA,6/9/2023,45089,494B,6,7/18/2023,45145,8/10/2023,7/5: Added 5 mL nutrients and 50 mL water,0.0766,2.3A.R,NA,NA,NA,NA,NA,NA,R
3,Shoot,Receiver,2,3,Experimental,NA,6/9/2023,45089,494B,6,7/18/2023,45145,8/10/2023,7/5: Added 5 mL nutrients and 50 mL water,0.0193,2.3B.S,0.901,1,NA,4/15/2024,NA,NA,S
4,Root,Receiver,2,3,Experimental,NA,6/9/2023,45089,494B,6,7/18/2023,45145,8/10/2023,7/5: Added 5 mL nutrients and 50 mL water,0.038,2.3B.R,NA,NA,NA,NA,NA,NA,R
5,Shoot,Donor,2,5,Experimental,NA,6/28/2023,45110,494B,7,7/18/2023,45145,8/10/2023,6/28: 5 mL nutrients + 50 mL water added to each chamber before 2-day old germinants added to each chamber. 7/24: Transplanted extra germinant from 14A to 5A to replace dead germinant,0.0313,2.5A.S,1.086,1,NA,4/15/2024,NA,NA,S
6,Root,Donor,2,5,Experimental,NA,6/28/2023,45110,494B,7,7/18/2023,45145,8/10/2023,6/28: 5 mL nutrients + 50 mL water added to each chamber before 2-day old germinants added to each chamber. 7/24: Transplanted extra germinant from 14A to 5A to replace dead germinant,0.0209,2.5A.R,NA,NA,NA,NA,NA,NA,R
7,Shoot,Receiver,2,5,Experimental,NA,6/28/2023,45110,494B,7,7/18/2023,45145,8/10/2023,6/28: 5 mL nutrients + 50 mL water added to each chamber before 2-day old germinants added to each chamber. 7/24: Transplanted extra germinant from 14A to 5A to replace dead germinant,0.0118,2.5B.S,0.989,1,NA,4/15/2024,NA,NA,S
8,Root,Receiver,2,5,Experimental,NA,6/28/2023,45110,494B,7,7/18/2023,45145,8/10/2023,6/28: 5 mL nutrients + 50 mL water added to each chamber before 2-day old germinants added to each chamber. 7/24: Transplanted extra germinant from 14A to 5A to replace dead germinant,0.0304,2.5B.R,1.311,2,should be 2.5b.r,4/18/2024,NA,NA,R
9,Shoot,Donor,4,9,Experimental,7/10/2023,7/12/2023,45124,494B,9,NA,45145,8/10/2023,NA,0.0567,4.9A.S,1.48,1,NA,4/15/2024,NA,NA,S
10,Root,Donor,4,9,Experimental,7/10/2023,7/12/2023,45124,494B,9,NA,45145,8/10/2023,NA,0.0509,4.9A.R,1.355,1,NA,4/18/2024,NA,NA,R
