"","samps","samps2","Compartment","dye_ug","plant_g","uL","abs_500","abs_495","abs_545","abs_600","diff_545"
"1","6 2","5R","Roots",0,0.0015,30,-0.2541,-0.2193,-0.7041,0.2902,-0.9943
"2","7 2","5R","Roots",0,0.0015,30,-0.4571,-0.4313,-0.8781,0.1112,-0.9893
"3","8 2","5R","Roots",0,0.0015,30,-0.5301,-0.5123,-0.9681,0.0262,-0.9943
"4","13 2","D5R","Roots",0,7e-04,30,-0.7811,-0.7653,-1.2331,-0.2178,-1.0153
"5","14 2","D4R","Roots",0,8e-04,30,-0.0281,-0.0293,-0.4731,0.5362,-1.0093
"6","16 2","5R","Roots",0,0.0015,30,-0.0191,0.00669999999999993,-0.5621,0.3562,-0.9183
"7","17","5R","Roots",0.00416666666666667,0.0015,30,-0.0420999999999999,-0.0303,-0.2051,0.2342,-0.4393
"8","18","5R","Roots",0.00416666666666667,0.0015,30,0.1579,0.1687,0.0168999999999999,0.3952,-0.3783
"9","19","5R","Roots",0.00416666666666667,0.0015,30,-0.5171,-0.5043,-0.7021,-0.1908,-0.5113
"10","25","D4R","Roots",0.00416666666666667,8e-04,30,-0.8721,-0.8513,-1.1461,-0.3678,-0.7783
"11","27","R4","Roots",0.00416666666666667,0.0013,30,-0.6421,-0.6093,-0.8471,-0.3148,-0.5323
"12","39","5R","Roots",0.00833333333333333,0.0015,30,-0.1791,-0.1623,-0.2411,-0.0558,-0.1853
"13","40","5R","Roots",0.00833333333333333,0.0015,30,-0.2251,-0.2243,-0.1481,-0.2208,0.0727000000000001
"14","41","5R","Roots",0.00833333333333333,0.0015,30,-0.1711,-0.1713,-0.2051,-0.0678,-0.1373
"15","46","D5R","Roots",0.00833333333333333,7e-04,30,-0.5331,-0.5113,-0.7201,-0.1998,-0.5203
"16","47","D4R","Roots",0.00833333333333333,8e-04,30,-0.2841,-0.2833,-0.2161,-0.2468,0.0307
"17","49","R4","Roots",0.00833333333333333,0.0013,30,-0.1551,-0.1573,-0.1711,-0.1418,-0.0293
"18","50","5R","Roots",0.0166666666666667,0.0015,30,0.2319,0.2177,0.6689,-0.2358,0.9047
"19","51","5R","Roots",0.0166666666666667,0.0015,30,1.1029,1.0497,2.1089,-0.1368,2.2457
"20","52","5R","Roots",0.0166666666666667,0.0015,30,0.1249,0.1137,0.4609,-0.2298,0.6907
"21","57","D5R","Roots",0.0166666666666667,7e-04,30,0.2669,0.2587,0.4899,0.0612,0.4287
"22","58","D4R","Roots",0.0166666666666667,8e-04,30,0.9379,0.9027,1.8049,-0.0738,1.8787
"23","60","R4","Roots",0.0166666666666667,0.0013,30,0.5919,0.5787,1.1299,-0.1178,1.2477
"24","61","5R","Roots",0.133333333333333,0.0015,30,18.9049,18.2107,24.7129,0.8742,23.8387
"25","62","5R","Roots",0.133333333333333,0.0015,30,15.8969,15.3037,25.7369,0.7422,24.9947
"26","63","5R","Roots",0.133333333333333,0.0015,30,17.4159,16.9287,23.5829,-0.1048,23.6877
"27","68","D5R","Roots",0.133333333333333,7e-04,30,9.0709,8.6997,14.6409,0.4712,14.1697
"28","69","D4R","Roots",0.133333333333333,8e-04,30,11.3379,10.9357,18.5669,0.4672,18.0997
"29","71","R4","Roots",0.133333333333333,0.0013,30,18.1469,17.7157,24.8559,0.9032,23.9527
"30","105","5R","Roots",0.0666666666666667,0.0015,30,14.8049,14.2717,23.9319,0.6212,23.3107
"31","116","5R","Roots",0.1,0.0015,30,23.6899,22.8587,22.4869,1.1542,21.3327
"32","127","5R","Roots",0.12,0.0015,30,26.1689,26.7987,21.4189,1.3852,20.0337
"33","106","5R","Roots",0.0666666666666667,0.0015,30,16.0759,15.4767,25.3209,0.6582,24.6627
"34","117","5R","Roots",0.1,0.0015,30,22.5619,21.7607,23.3789,1.1192,22.2597
"35","128","5R","Roots",0.12,0.0015,30,25.5389,24.5177,22.0339,1.3162,20.7177
"36","107","5R","Roots",0.0666666666666667,0.0015,30,14.3199,13.8077,23.7259,0.5712,23.1547
"37","118","5R","Roots",0.1,0.0015,30,23.0669,22.4067,22.9869,1.1622,21.8247
"38","129","5R","Roots",0.12,0.0015,30,25.9879,26.7237,21.5009,1.4302,20.0707
"39","112","D5R","Roots",0.0666666666666667,7e-04,30,15.3459,14.8627,24.2079,0.6642,23.5437
"40","123","D5R","Roots",0.1,7e-04,30,23.8089,23.2007,22.8689,1.1522,21.7167
"41","134","D5R","Roots",0.12,7e-04,30,25.3609,25.1037,21.8619,1.3572,20.5047
"42","115","R4","Roots",0.0666666666666667,0.0013,30,12.7639,12.3687,21.3479,0.5002,20.8477
"43","115","R4","Roots",0.0666666666666667,0.0013,30,12.7639,12.3687,21.3479,0.4012,20.9467
"44","115","R4","Roots",0.0666666666666667,0.0013,30,12.7639,12.3687,11.3349,0.5002,10.8347
"45","115","R4","Roots",0.0666666666666667,0.0013,30,12.7639,12.3687,11.3349,0.4012,10.9337
"46","115","R4","Roots",0.0666666666666667,0.0013,30,12.7639,6.5847,21.3479,0.5002,20.8477
"47","115","R4","Roots",0.0666666666666667,0.0013,30,12.7639,6.5847,21.3479,0.4012,20.9467
"48","115","R4","Roots",0.0666666666666667,0.0013,30,12.7639,6.5847,11.3349,0.5002,10.8347
"49","115","R4","Roots",0.0666666666666667,0.0013,30,12.7639,6.5847,11.3349,0.4012,10.9337
"50","124","D4R","Roots",0.1,8e-04,30,19.8729,19.1787,24.4039,0.9432,23.4607
"51","135","D4R","Roots",0.12,8e-04,30,25.1419,23.9957,22.2829,1.2632,21.0197
"52","115","R4","Roots",0.0666666666666667,0.0013,30,6.8539,12.3687,21.3479,0.5002,20.8477
"53","115","R4","Roots",0.0666666666666667,0.0013,30,6.8539,12.3687,21.3479,0.4012,20.9467
"54","115","R4","Roots",0.0666666666666667,0.0013,30,6.8539,12.3687,11.3349,0.5002,10.8347
"55","115","R4","Roots",0.0666666666666667,0.0013,30,6.8539,12.3687,11.3349,0.4012,10.9337
"56","115","R4","Roots",0.0666666666666667,0.0013,30,6.8539,6.5847,21.3479,0.5002,20.8477
"57","115","R4","Roots",0.0666666666666667,0.0013,30,6.8539,6.5847,21.3479,0.4012,20.9467
"58","115","R4","Roots",0.0666666666666667,0.0013,30,6.8539,6.5847,11.3349,0.5002,10.8347
"59","115","R4","Roots",0.0666666666666667,0.0013,30,6.8539,6.5847,11.3349,0.4012,10.9337
"60","126","R4","Roots",0.1,0.0013,30,13.0689,12.6037,21.2579,0.5442,20.7137
"61","137","R4","Roots",0.12,0.0013,30,15.4819,14.8867,24.3499,0.7192,23.6307
