"","samps","samps2","Compartment","dye_ug","plant_g","uL","abs_500","abs_495","abs_545","abs_600","diff_545"
"1","11 2","D4S","Shoots",0,3e-04,30,-0.785333333333333,-0.808,-0.558,-0.367333333333333,-0.190666666666667
"2","12 2","D5S","Shoots",0,7e-04,30,-0.194333333333333,-0.212,-0.0329999999999999,0.130666666666667,-0.163666666666667
"3","15 1","S1","Shoots",0,5e-04,30,0.979666666666667,1.02,0.591,0.236666666666667,0.354333333333333
"4","20","2S","Shoots",0.00416666666666667,6e-04,30,-0.125333333333333,-0.12,-0.099,-0.166333333333333,0.0673333333333334
"5","22","D4S","Shoots",0.00416666666666667,3e-04,30,-0.958333333333333,-0.994,-0.588,-0.525333333333333,-0.0626666666666666
"6","23","D5S","Shoots",0.00416666666666667,7e-04,30,-0.739333333333333,-0.773,-0.385,-0.294333333333333,-0.0906666666666666
"7","26","S1","Shoots",0.00416666666666667,5e-04,30,-0.513333333333333,-0.514,-0.329,-0.380333333333333,0.0513333333333333
"8","42","2S","Shoots",0.00833333333333333,6e-04,30,1.47966666666667,1.546,1.115,0.623666666666667,0.491333333333333
"9","44","D4S","Shoots",0.00833333333333333,3e-04,30,-0.730333333333333,-0.759,-0.283,-0.409333333333333,0.126333333333333
"10","45","D5S","Shoots",0.00833333333333333,7e-04,30,-0.552333333333333,-0.585,-0.234,-0.232333333333333,-0.00166666666666662
"11","48","S1","Shoots",0.00833333333333333,5e-04,30,0.117666666666667,0.114,0.174,-0.0773333333333333,0.251333333333333
"12","53","2S","Shoots",0.0166666666666667,6e-04,30,1.83566666666667,1.947,1.312,0.624666666666667,0.687333333333333
"13","55","D4S","Shoots",0.0166666666666667,3e-04,30,-0.633333333333333,-0.659,-0.152,-0.390333333333333,0.238333333333333
"14","56","D5S","Shoots",0.0166666666666667,7e-04,30,-0.584333333333333,-0.597,-0.215,-0.291333333333333,0.0763333333333334
"15","59","S1","Shoots",0.0166666666666667,5e-04,30,0.233666666666667,0.244,0.395,-0.116333333333333,0.511333333333333
"16","64","2S","Shoots",0.133333333333333,6e-04,30,4.16466666666667,4.277,3.91,1.27666666666667,2.63333333333333
"17","66","D4S","Shoots",0.133333333333333,3e-04,30,1.63666666666667,1.556,3.209,0.209666666666667,2.99933333333333
"18","67","D5S","Shoots",0.133333333333333,7e-04,30,0.919666666666667,0.857,2.23,-0.149333333333333,2.37933333333333
"19","108","2S","Shoots",0.0666666666666667,6e-04,30,2.70666666666667,2.768,2.722,0.887666666666667,1.83433333333333
"20","119","2S","Shoots",0.1,6e-04,30,3.77866666666667,3.878,3.892,1.02566666666667,2.86633333333333
"21","130","2S","Shoots",0.12,6e-04,30,3.97666666666667,4.051,4.45,0.960666666666667,3.48933333333333
"22","111","D5S","Shoots",0.0666666666666667,7e-04,30,1.20766666666667,1.099,2.934,-0.297333333333333,3.23133333333333
"23","122","D5S","Shoots",0.1,7e-04,30,1.23066666666667,1.148,2.769,-0.111333333333333,2.88033333333333
"24","114","S1","Shoots",0.0666666666666667,5e-04,30,1.99566666666667,1.919,3.329,0.00166666666666671,3.32733333333333
